team_0,team_0_ranking,team_0_rating_average,team_0_k_total,team_0_a_total,team_0_d_total,team_0_k_avarage,team_0_a_avarage,team_0_d_avarage,team_0_adr_avarage,team_1,team_1_ranking,team_1_rating_average,team_1_k_total,team_1_a_total,team_1_d_total,team_1_k_avarage,team_1_a_avarage,team_1_d_avarage,team_1_adr_avarage,delta_ranking,delta_rating,delta_kills,delta_assists,delta_deaths,delta_adr,winner
Vitality Vitality,3, 1.17,78,22,73, 15.60, 4.40, 14.60, 78.20,The MongolZ The MongolZ,13, 1.02,73,18,79, 14.60, 3.60, 15.80, 76.60,-10, 0.15,5,4,-6, 8.0,0
9z 9z,24, 1.39,76,26,55, 15.20, 5.20, 11.00, 84.56,Virtus.pro Virtus.pro,9, 0.78,55,27,76, 11.00, 5.40, 15.20, 65.60,15, 0.61,21,-1,-21, 94.8,0
9z 9z,24, 0.88,64,23,73, 12.80, 4.60, 14.60, 63.02,Virtus.pro Virtus.pro,9, 1.05,72,27,65, 14.40, 5.40, 13.00, 67.62,15,-0.17,-8,-4,8,-23.0,1
9z 9z,24, 0.50,32,7,56, 6.40, 1.40, 11.20, 50.04,Virtus.pro Virtus.pro,9, 1.40,54,21,34, 10.80, 4.20, 6.80, 78.06,15,-0.90,-22,-14,22,-140.1,1
G2 G2,2, 0.68,42,14,74, 8.40, 2.80, 14.80, 57.64,Eternal Fire Eternal Fire,7, 1.47,74,24,42, 14.80, 4.80, 8.40, 90.18,-5,-0.79,-32,-10,32,-162.7,1
G2 G2,2, 0.80,52,17,76, 10.40, 3.40, 15.20, 66.16,Eternal Fire Eternal Fire,7, 1.32,76,33,52, 15.20, 6.60, 10.40, 84.24,-5,-0.52,-24,-16,24,-90.4,1
HEROIC HEROIC,16, 1.20,82,25,72, 16.40, 5.00, 14.40, 81.22,Astralis Astralis,17, 0.99,72,25,82, 14.40, 5.00, 16.40, 73.10,-1, 0.21,10,0,-10, 40.6,0
HEROIC HEROIC,16, 1.21,76,25,60, 15.20, 5.00, 12.00, 82.80,Astralis Astralis,17, 0.94,60,20,76, 12.00, 4.00, 15.20, 71.04,-1, 0.27,16,5,-16, 58.8,0
FaZe FaZe,6, 1.37,75,27,49, 15.00, 5.40, 9.80, 85.44,Liquid Liquid,8, 0.78,49,14,75, 9.80, 2.80, 15.00, 64.54,-2, 0.59,26,13,-26, 104.5,0
FaZe FaZe,6, 1.31,76,34,57, 15.20, 6.80, 11.40, 82.26,Liquid Liquid,8, 0.82,57,20,76, 11.40, 4.00, 15.20, 66.42,-2, 0.49,19,14,-19, 79.2,0
MOUZ MOUZ,5, 1.19,101,40,85, 20.20, 8.00, 17.00, 78.70,Complexity Complexity,10, 0.94,85,33,101, 17.00, 6.60, 20.20, 70.12,-5, 0.25,16,7,-16, 42.9,0
MOUZ MOUZ,5, 1.10,103,30,93, 20.60, 6.00, 18.60, 77.48,Complexity Complexity,10, 1.01,91,37,103, 18.20, 7.40, 20.60, 74.44,-5, 0.09,12,-7,-10, 15.2,0
Virtus.pro Virtus.pro,8, 1.09,120,29,107, 24.00, 5.80, 21.40, 75.86,Astralis Astralis,17, 0.92,107,40,121, 21.40, 8.00, 24.20, 69.18,-9, 0.17,13,-11,-14, 33.4,0
Virtus.pro Virtus.pro,8, 1.19,84,29,73, 16.80, 5.80, 14.60, 82.74,Astralis Astralis,17, 0.91,72,20,87, 14.40, 4.00, 17.40, 73.78,-9, 0.28,12,9,-14, 44.8,0
The MongolZ The MongolZ,13, 1.67,72,20,31, 14.40, 4.00, 6.20, 97.64,Eternal Fire Eternal Fire,7, 0.49,31,12,72, 6.20, 2.40, 14.40, 50.24,6, 1.18,41,8,-41, 237.0,0
